brand,product_name,category,shade_name,price,finish,image_url,swatch_url,lab_L,lab_a,lab_b
더샘,샘물 싱글 섀도우,eye,WH02 살결st 바닐라,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/1195367627625507159.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/1195367627625507159.jpg,211.94,129.58,129.09
더샘,샘물 싱글 섀도우,eye,BE01 입덕주의 슈가,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/5357592297180477831.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/5357592297180477831.jpg,173.86,135.68,133.3
더샘,샘물 싱글 섀도우,eye,BE02 입덕주의 누가,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4302395239147460056.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4302395239147460056.jpg,195.87,136.78,139.11
더샘,샘물 싱글 섀도우,eye,CR01 입덕주의 포멜로,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/6271056095763001922.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/6271056095763001922.jpg,170.17,142.44,136.94
더샘,샘물 싱글 섀도우,eye,PK01 입덕주의 샤이,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/8007612406795120247.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/8007612406795120247.jpg,187.76,136.5,129.88
더샘,샘물 싱글 섀도우,eye,PK02 입덕주의 피그,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/9193260654534872040.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/9193260654534872040.jpg,176.88,139.72,136.19
더샘,샘물 싱글 섀도우,eye,PP01 입덕주의 자스민,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/3272128268815371812.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/3272128268815371812.jpg,184.73,135.64,125.34
더샘,샘물 싱글 섀도우,eye,WH01 입덕주의 화이트,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/7468063777031590370.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/7468063777031590370.jpg,208.34,130.48,131.64
더샘,샘물 싱글 섀도우,eye,WH02 입덕주의 스노우,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/2752971416514561611.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/2752971416514561611.jpg,221.5,129.57,130.32
더샘,샘물 싱글 섀도우,eye,BL01 윈터버블 젤리,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/9219952732996495840.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/9219952732996495840.jpg,209.83,126.68,124.91
더샘,샘물 싱글 섀도우,eye,CR02 구아바 젤리,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/5188766348103347446.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/5188766348103347446.jpg,195.38,143.07,136.06
더샘,샘물 싱글 섀도우,eye,PK01 생딸기 젤리,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/529312962189433456.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/529312962189433456.jpg,184.16,139.99,128.1
더샘,샘물 싱글 섀도우,eye,PP01 페어리 젤리,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/480037024275341672.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/480037024275341672.jpg,162.36,141.21,128.33
